	G_intestinali_aa	G_muris_aa	G_salmonicida_aa
OG0007266			KAH0572762.1
OG0007267			KAH0572763.1
OG0007268			KAH0572764.1
OG0007269			KAH0572765.1
OG0007270			KAH0572766.1
OG0007271			KAH0572768.1
OG0007272			KAH0572773.1
OG0007273			KAH0572774.1
OG0007274			KAH0572775.1
OG0007275			KAH0572778.1
OG0007276			KAH0572779.1
OG0007277			KAH0572780.1
OG0007278			KAH0572782.1
OG0007279			KAH0572783.1
OG0007280			KAH0572784.1
OG0007281			KAH0572785.1
OG0007282			KAH0572786.1
OG0007283			KAH0572787.1
OG0007284			KAH0572788.1
OG0007285			KAH0572789.1
OG0007286			KAH0572790.1
OG0007287			KAH0572791.1
OG0007288			KAH0572793.1
OG0007289			KAH0572794.1
OG0007290			KAH0572795.1
OG0007291			KAH0572796.1
OG0007292			KAH0572797.1
OG0007293			KAH0572798.1
OG0007294			KAH0572799.1
OG0007295			KAH0572800.1
OG0007296			KAH0572801.1
OG0007297			KAH0572802.1
OG0007298			KAH0572804.1
OG0007299			KAH0572805.1
OG0007300			KAH0572806.1
OG0007301			KAH0572807.1
OG0007302			KAH0572809.1
OG0007303			KAH0572810.1
OG0007304			KAH0572811.1
OG0007305			KAH0572812.1
OG0007306			KAH0572813.1
OG0007307			KAH0572814.1
OG0007308			KAH0572817.1
OG0007309			KAH0572818.1
OG0007310			KAH0572819.1
OG0007311			KAH0572821.1
OG0007312			KAH0572822.1
OG0007313			KAH0572825.1
OG0007314			KAH0572826.1
OG0007315			KAH0572827.1
OG0007316			KAH0572828.1
OG0007317			KAH0572829.1
OG0007318			KAH0572831.1
OG0007319			KAH0572832.1
OG0007320			KAH0572833.1
OG0007321			KAH0572835.1
OG0007322			KAH0572837.1
OG0007323			KAH0572838.1
OG0007324			KAH0572839.1
OG0007325			KAH0572840.1
OG0007326			KAH0572841.1
OG0007327			KAH0572842.1
OG0007328			KAH0572843.1
OG0007329			KAH0572844.1
OG0007330			KAH0572845.1
OG0007331			KAH0572846.1
OG0007332			KAH0572847.1
OG0007333			KAH0572848.1
OG0007334			KAH0572850.1
OG0007335			KAH0572851.1
OG0007336			KAH0572852.1
OG0007337			KAH0572853.1
OG0007338			KAH0572855.1
OG0007339			KAH0572856.1
OG0007340			KAH0572857.1
OG0007341			KAH0572858.1
OG0007342			KAH0572859.1
OG0007343			KAH0572861.1
OG0007344			KAH0572862.1
OG0007345			KAH0572863.1
OG0007346			KAH0572865.1
OG0007347			KAH0572866.1
OG0007348			KAH0572867.1
OG0007349			KAH0572868.1
OG0007350			KAH0572869.1
OG0007351			KAH0572870.1
OG0007352			KAH0572871.1
OG0007353			KAH0572872.1
OG0007354			KAH0572873.1
OG0007355			KAH0572874.1
OG0007356			KAH0572875.1
OG0007357			KAH0572876.1
OG0007358			KAH0572877.1
OG0007359			KAH0572878.1
OG0007360			KAH0572879.1
OG0007361			KAH0572880.1
OG0007362			KAH0572881.1
OG0007363			KAH0572882.1
OG0007364			KAH0572883.1
OG0007365			KAH0572884.1
OG0007366			KAH0572885.1
OG0007367			KAH0572886.1
OG0007368			KAH0572887.1
OG0007369			KAH0572888.1
OG0007370			KAH0572889.1
OG0007371			KAH0572890.1
OG0007372			KAH0572891.1
OG0007373			KAH0572892.1
OG0007374			KAH0572893.1
OG0007375			KAH0572895.1
OG0007376			KAH0572896.1
OG0007377			KAH0572897.1
OG0007378			KAH0572898.1
OG0007379			KAH0572899.1
OG0007380			KAH0572901.1
OG0007381			KAH0572902.1
OG0007382			KAH0572903.1
OG0007383			KAH0572905.1
OG0007384			KAH0572906.1
OG0007385			KAH0572907.1
OG0007386			KAH0572909.1
OG0007387			KAH0572910.1
OG0007388			KAH0572911.1
OG0007389			KAH0572912.1
OG0007390			KAH0572913.1
OG0007391			KAH0572916.1
OG0007392			KAH0572919.1
OG0007393			KAH0572920.1
OG0007394			KAH0572921.1
OG0007395			KAH0572922.1
OG0007396			KAH0572923.1
OG0007397			KAH0572924.1
OG0007398			KAH0572926.1
OG0007399			KAH0572928.1
OG0007400			KAH0572930.1
OG0007401			KAH0572931.1
OG0007402			KAH0572932.1
OG0007403			KAH0572933.1
OG0007404			KAH0572934.1
OG0007405			KAH0572936.1
OG0007406			KAH0572937.1
OG0007407			KAH0572938.1
OG0007408			KAH0572942.1
OG0007409			KAH0572943.1
OG0007410			KAH0572944.1
OG0007411			KAH0572945.1
OG0007412			KAH0572946.1
OG0007413			KAH0572948.1
OG0007414			KAH0572949.1
OG0007415			KAH0572950.1
OG0007416			KAH0572951.1
OG0007417			KAH0572952.1
OG0007418			KAH0572953.1
OG0007419			KAH0572954.1
OG0007420			KAH0572957.1
OG0007421			KAH0572958.1
OG0007422			KAH0572959.1
OG0007423			KAH0572961.1
OG0007424			KAH0572962.1
OG0007425			KAH0572963.1
OG0007426			KAH0572964.1
OG0007427			KAH0572965.1
OG0007428			KAH0572966.1
OG0007429			KAH0572967.1
OG0007430			KAH0572968.1
OG0007431			KAH0572969.1
OG0007432			KAH0572970.1
OG0007433			KAH0572971.1
OG0007434			KAH0572974.1
OG0007435			KAH0572975.1
OG0007436			KAH0572976.1
OG0007437			KAH0572977.1
OG0007438			KAH0572978.1
OG0007439			KAH0572980.1
OG0007440			KAH0572982.1
OG0007441			KAH0572983.1
OG0007442			KAH0572985.1
OG0007443			KAH0572986.1
OG0007444			KAH0572987.1
OG0007445			KAH0572988.1
OG0007446			KAH0572989.1
OG0007447			KAH0572990.1
OG0007448			KAH0572991.1
OG0007449			KAH0572994.1
OG0007450			KAH0572996.1
OG0007451			KAH0572998.1
OG0007452			KAH0572999.1
OG0007453			KAH0573000.1
OG0007454			KAH0573001.1
OG0007455			KAH0573002.1
OG0007456			KAH0573004.1
OG0007457			KAH0573006.1
OG0007458			KAH0573008.1
OG0007459			KAH0573010.1
OG0007460			KAH0573011.1
OG0007461			KAH0573013.1
OG0007462			KAH0573014.1
OG0007463			KAH0573015.1
OG0007464			KAH0573018.1
OG0007465			KAH0573019.1
OG0007466			KAH0573021.1
OG0007467			KAH0573022.1
OG0007468			KAH0573023.1
OG0007469			KAH0573024.1
OG0007470			KAH0573025.1
OG0007471			KAH0573026.1
OG0007472			KAH0573028.1
OG0007473			KAH0573030.1
OG0007474			KAH0573031.1
OG0007475			KAH0573033.1
OG0007476			KAH0573034.1
OG0007477			KAH0573035.1
OG0007478			KAH0573036.1
OG0007479			KAH0573037.1
OG0007480			KAH0573039.1
OG0007481			KAH0573040.1
OG0007482			KAH0573041.1
OG0007483			KAH0573042.1
OG0007484			KAH0573043.1
OG0007485			KAH0573045.1
OG0007486			KAH0573046.1
OG0007487			KAH0573049.1
OG0007488			KAH0573050.1
OG0007489			KAH0573051.1
OG0007490			KAH0573052.1
OG0007491			KAH0573053.1
OG0007492			KAH0573054.1
OG0007493			KAH0573055.1
OG0007494			KAH0573056.1
OG0007495			KAH0573057.1
OG0007496			KAH0573058.1
OG0007497			KAH0573059.1
OG0007498			KAH0573060.1
OG0007499			KAH0573061.1
OG0007500			KAH0573062.1
OG0007501			KAH0573063.1
OG0007502			KAH0573064.1
OG0007503			KAH0573065.1
OG0007504			KAH0573066.1
OG0007505			KAH0573067.1
OG0007506			KAH0573068.1
OG0007507			KAH0573069.1
OG0007508			KAH0573070.1
OG0007509			KAH0573072.1
OG0007510			KAH0573073.1
OG0007511			KAH0573074.1
OG0007512			KAH0573075.1
OG0007513			KAH0573077.1
OG0007514			KAH0573078.1
OG0007515			KAH0573080.1
OG0007516			KAH0573084.1
OG0007517			KAH0573085.1
OG0007518			KAH0573086.1
OG0007519			KAH0573087.1
OG0007520			KAH0573088.1
OG0007521			KAH0573089.1
OG0007522			KAH0573090.1
OG0007523			KAH0573091.1
OG0007524			KAH0573092.1
OG0007525			KAH0573093.1
OG0007526			KAH0573094.1
OG0007527			KAH0573095.1
OG0007528			KAH0573097.1
OG0007529			KAH0573098.1
OG0007530			KAH0573100.1
OG0007531			KAH0573101.1
OG0007532			KAH0573102.1
OG0007533			KAH0573103.1
OG0007534			KAH0573104.1
OG0007535			KAH0573105.1
OG0007536			KAH0573106.1
OG0007537			KAH0573107.1
OG0007538			KAH0573108.1
OG0007539			KAH0573110.1
OG0007540			KAH0573111.1
OG0007541			KAH0573112.1
OG0007542			KAH0573113.1
OG0007543			KAH0573114.1
OG0007544			KAH0573115.1
OG0007545			KAH0573116.1
OG0007546			KAH0573117.1
OG0007547			KAH0573118.1
OG0007548			KAH0573120.1
OG0007549			KAH0573123.1
OG0007550			KAH0573127.1
OG0007551			KAH0573128.1
OG0007552			KAH0573130.1
OG0007553			KAH0573134.1
OG0007554			KAH0573139.1
OG0007555			KAH0573140.1
OG0007556			KAH0573141.1
OG0007557			KAH0573142.1
OG0007558			KAH0573143.1
OG0007559			KAH0573144.1
OG0007560			KAH0573145.1
OG0007561			KAH0573146.1
OG0007562			KAH0573148.1
OG0007563			KAH0573151.1
OG0007564			KAH0573152.1
OG0007565			KAH0573153.1
OG0007566			KAH0573154.1
OG0007567			KAH0573157.1
OG0007568			KAH0573158.1
OG0007569			KAH0573160.1
OG0007570			KAH0573161.1
OG0007571			KAH0573162.1
OG0007572			KAH0573164.1
OG0007573			KAH0573165.1
OG0007574			KAH0573166.1
OG0007575			KAH0573167.1
OG0007576			KAH0573169.1
OG0007577			KAH0573173.1
OG0007578			KAH0573174.1
OG0007579			KAH0573176.1
OG0007580			KAH0573177.1
OG0007581			KAH0573179.1
OG0007582			KAH0573180.1
OG0007583			KAH0573182.1
OG0007584			KAH0573183.1
OG0007585			KAH0573185.1
OG0007586			KAH0573186.1
OG0007587			KAH0573189.1
OG0007588			KAH0573192.1
OG0007589			KAH0573193.1
OG0007590			KAH0573194.1
OG0007591			KAH0573195.1
OG0007592			KAH0573196.1
OG0007593			KAH0573197.1
OG0007594			KAH0573198.1
OG0007595			KAH0573199.1
OG0007596			KAH0573201.1
OG0007597			KAH0573202.1
OG0007598			KAH0573204.1
OG0007599			KAH0573205.1
OG0007600			KAH0573208.1
OG0007601			KAH0573209.1
OG0007602			KAH0573212.1
OG0007603			KAH0573213.1
OG0007604			KAH0573214.1
OG0007605			KAH0573216.1
OG0007606			KAH0573217.1
OG0007607			KAH0573219.1
OG0007608			KAH0573220.1
OG0007609			KAH0573224.1
OG0007610			KAH0573225.1
OG0007611			KAH0573226.1
OG0007612			KAH0573227.1
OG0007613			KAH0573228.1
OG0007614			KAH0573230.1
OG0007615			KAH0573232.1
OG0007616			KAH0573235.1
OG0007617			KAH0573237.1
OG0007618			KAH0573238.1
OG0007619			KAH0573239.1
OG0007620			KAH0573242.1
OG0007621			KAH0573243.1
OG0007622			KAH0573244.1
OG0007623			KAH0573246.1
OG0007624			KAH0573247.1
OG0007625			KAH0573248.1
OG0007626			KAH0573249.1
OG0007627			KAH0573250.1
OG0007628			KAH0573253.1
OG0007629			KAH0573256.1
OG0007630			KAH0573258.1
OG0007631			KAH0573259.1
OG0007632			KAH0573261.1
OG0007633			KAH0573262.1
OG0007634			KAH0573265.1
OG0007635			KAH0573266.1
OG0007636			KAH0573267.1
OG0007637			KAH0573269.1
OG0007638			KAH0573270.1
OG0007639			KAH0573271.1
OG0007640			KAH0573274.1
OG0007641			KAH0573276.1
OG0007642			KAH0573278.1
OG0007643			KAH0573279.1
OG0007644			KAH0573282.1
OG0007645			KAH0573283.1
OG0007646			KAH0573284.1
OG0007647			KAH0573285.1
OG0007648			KAH0573286.1
OG0007649			KAH0573287.1
OG0007650			KAH0573289.1
OG0007651			KAH0573290.1
OG0007652			KAH0573292.1
OG0007653			KAH0573293.1
OG0007654			KAH0573294.1
OG0007655			KAH0573296.1
OG0007656			KAH0573298.1
OG0007657			KAH0573299.1
OG0007658			KAH0573300.1
OG0007659			KAH0573303.1
OG0007660			KAH0573304.1
OG0007661			KAH0573305.1
OG0007662			KAH0573306.1
OG0007663			KAH0573307.1
OG0007664			KAH0573309.1
OG0007665			KAH0573310.1
OG0007666			KAH0573313.1
OG0007667			KAH0573314.1
OG0007668			KAH0573315.1
OG0007669			KAH0573318.1
OG0007670			KAH0573319.1
OG0007671			KAH0573322.1
OG0007672			KAH0573324.1
OG0007673			KAH0573326.1
OG0007674			KAH0573328.1
OG0007675			KAH0573329.1
OG0007676			KAH0573333.1
OG0007677			KAH0573334.1
OG0007678			KAH0573335.1
OG0007679			KAH0573336.1
OG0007680			KAH0573338.1
OG0007681			KAH0573341.1
OG0007682			KAH0573342.1
OG0007683			KAH0573344.1
OG0007684			KAH0573346.1
OG0007685			KAH0573348.1
OG0007686			KAH0573349.1
OG0007687			KAH0573350.1
OG0007688			KAH0573354.1
OG0007689			KAH0573356.1
OG0007690			KAH0573357.1
OG0007691			KAH0573358.1
OG0007692			KAH0573361.1
OG0007693			KAH0573362.1
OG0007694			KAH0573363.1
OG0007695			KAH0573364.1
OG0007696			KAH0573365.1
OG0007697			KAH0573367.1
OG0007698			KAH0573369.1
OG0007699			KAH0573370.1
OG0007700			KAH0573371.1
OG0007701			KAH0573373.1
OG0007702			KAH0573374.1
OG0007703			KAH0573376.1
OG0007704			KAH0573378.1
OG0007705			KAH0573383.1
OG0007706			KAH0573384.1
OG0007707			KAH0573386.1
OG0007708			KAH0573388.1
OG0007709			KAH0573389.1
OG0007710			KAH0573390.1
OG0007711			KAH0573391.1
OG0007712			KAH0573393.1
OG0007713			KAH0573394.1
OG0007714			KAH0573396.1
OG0007715			KAH0573399.1
OG0007716			KAH0573400.1
OG0007717			KAH0573401.1
OG0007718			KAH0573406.1
OG0007719			KAH0573408.1
OG0007720			KAH0573409.1
OG0007721			KAH0573410.1
OG0007722			KAH0573411.1
OG0007723			KAH0573412.1
OG0007724			KAH0573415.1
OG0007725			KAH0573416.1
OG0007726			KAH0573419.1
OG0007727			KAH0573420.1
OG0007728			KAH0573421.1
OG0007729			KAH0573423.1
OG0007730			KAH0573424.1
OG0007731			KAH0573427.1
OG0007732			KAH0573429.1
OG0007733			KAH0573430.1
OG0007734			KAH0573431.1
OG0007735			KAH0573432.1
OG0007736			KAH0573433.1
OG0007737			KAH0573434.1
OG0007738			KAH0573436.1
OG0007739			KAH0573437.1
OG0007740			KAH0573438.1
OG0007741			KAH0573439.1
OG0007742			KAH0573440.1
OG0007743			KAH0573442.1
OG0007744			KAH0573443.1
OG0007745			KAH0573447.1
OG0007746			KAH0573448.1
OG0007747			KAH0573449.1
OG0007748			KAH0573450.1
OG0007749			KAH0573451.1
OG0007750			KAH0573452.1
OG0007751			KAH0573453.1
OG0007752			KAH0573454.1
OG0007753			KAH0573458.1
OG0007754			KAH0573459.1
OG0007755			KAH0573461.1
OG0007756			KAH0573462.1
OG0007757			KAH0573464.1
OG0007758			KAH0573465.1
OG0007759			KAH0573466.1
OG0007760			KAH0573467.1
OG0007761			KAH0573468.1
OG0007762			KAH0573471.1
OG0007763			KAH0573473.1
OG0007764			KAH0573474.1
OG0007765			KAH0573476.1
OG0007766			KAH0573477.1
OG0007767			KAH0573479.1
OG0007768			KAH0573480.1
OG0007769			KAH0573481.1
OG0007770			KAH0573482.1
OG0007771			KAH0573483.1
OG0007772			KAH0573485.1
OG0007773			KAH0573490.1
OG0007774			KAH0573491.1
OG0007775			KAH0573493.1
OG0007776			KAH0573494.1
OG0007777			KAH0573496.1
OG0007778			KAH0573499.1
OG0007779			KAH0573500.1
OG0007780			KAH0573501.1
OG0007781			KAH0573505.1
OG0007782			KAH0573507.1
OG0007783			KAH0573509.1
OG0007784			KAH0573510.1
OG0007785			KAH0573511.1
OG0007786			KAH0573512.1
OG0007787			KAH0573514.1
OG0007788			KAH0573516.1
OG0007789			KAH0573518.1
OG0007790			KAH0573522.1
OG0007791			KAH0573523.1
OG0007792			KAH0573526.1
OG0007793			KAH0573530.1
OG0007794			KAH0573532.1
OG0007795			KAH0573534.1
OG0007796			KAH0573537.1
OG0007797			KAH0573538.1
OG0007798			KAH0573539.1
OG0007799			KAH0573543.1
OG0007800			KAH0573547.1
OG0007801			KAH0573548.1
OG0007802			KAH0573549.1
OG0007803			KAH0573550.1
OG0007804			KAH0573551.1
OG0007805			KAH0573552.1
OG0007806			KAH0573553.1
OG0007807			KAH0573554.1
OG0007808			KAH0573561.1
OG0007809			KAH0573562.1
OG0007810			KAH0573567.1
OG0007811			KAH0573569.1
OG0007812			KAH0573570.1
OG0007813			KAH0573571.1
OG0007814			KAH0573573.1
OG0007815			KAH0573576.1
OG0007816			KAH0573577.1
OG0007817			KAH0573578.1
OG0007818			KAH0573579.1
OG0007819			KAH0573580.1
OG0007820			KAH0573581.1
OG0007821			KAH0573582.1
OG0007822			KAH0573583.1
OG0007823			KAH0573584.1
OG0007824			KAH0573586.1
OG0007825			KAH0573587.1
OG0007826			KAH0573588.1
OG0007827			KAH0573592.1
OG0007828			KAH0573594.1
OG0007829			KAH0573595.1
OG0007830			KAH0573600.1
OG0007831			KAH0573602.1
OG0007832			KAH0573604.1
OG0007833			KAH0573607.1
OG0007834			KAH0573610.1
OG0007835			KAH0573617.1
OG0007836			KAH0573618.1
OG0007837			KAH0573619.1
OG0007838			KAH0573620.1
OG0007839			KAH0573621.1
OG0007840			KAH0573624.1
OG0007841			KAH0573625.1
OG0007842			KAH0573626.1
OG0007843			KAH0573627.1
OG0007844			KAH0573630.1
OG0007845			KAH0573631.1
OG0007846			KAH0573632.1
OG0007847			KAH0573633.1
OG0007848			KAH0573634.1
OG0007849			KAH0573636.1
OG0007850			KAH0573638.1
OG0007851			KAH0573639.1
OG0007852			KAH0573640.1
OG0007853			KAH0573641.1
OG0007854			KAH0573644.1
OG0007855			KAH0573645.1
OG0007856			KAH0573646.1
OG0007857			KAH0573647.1
OG0007858			KAH0573648.1
OG0007859			KAH0573649.1
OG0007860			KAH0573650.1
OG0007861			KAH0573651.1
OG0007862			KAH0573653.1
OG0007863			KAH0573655.1
OG0007864			KAH0573658.1
OG0007865			KAH0573659.1
OG0007866			KAH0573660.1
OG0007867			KAH0573661.1
OG0007868			KAH0573664.1
OG0007869			KAH0573666.1
OG0007870			KAH0573667.1
OG0007871			KAH0573668.1
OG0007872			KAH0573669.1
OG0007873			KAH0573672.1
OG0007874			KAH0573673.1
OG0007875			KAH0573676.1
OG0007876			KAH0573677.1
OG0007877			KAH0573678.1
OG0007878			KAH0573679.1
OG0007879			KAH0573680.1
OG0007880			KAH0573681.1
OG0007881			KAH0573684.1
OG0007882			KAH0573685.1
OG0007883			KAH0573687.1
OG0007884			KAH0573692.1
OG0007885			KAH0573693.1
OG0007886			KAH0573697.1
OG0007887			KAH0573698.1
OG0007888			KAH0573699.1
OG0007889			KAH0573703.1
OG0007890			KAH0573705.1
OG0007891			KAH0573706.1
OG0007892			KAH0573709.1
OG0007893			KAH0573712.1
OG0007894			KAH0573715.1
OG0007895			KAH0573716.1
OG0007896			KAH0573718.1
OG0007897			KAH0573719.1
OG0007898			KAH0573720.1
OG0007899			KAH0573723.1
OG0007900			KAH0573726.1
OG0007901			KAH0573727.1
OG0007902			KAH0573728.1
OG0007903			KAH0573729.1
OG0007904			KAH0573730.1
OG0007905			KAH0573731.1
OG0007906			KAH0573732.1
OG0007907			KAH0573733.1
OG0007908			KAH0573734.1
OG0007909			KAH0573735.1
OG0007910			KAH0573736.1
OG0007911			KAH0573737.1
OG0007912			KAH0573738.1
OG0007913			KAH0573740.1
OG0007914			KAH0573741.1
OG0007915			KAH0573743.1
OG0007916			KAH0573747.1
OG0007917			KAH0573749.1
OG0007918			KAH0573750.1
OG0007919			KAH0573751.1
OG0007920			KAH0573753.1
OG0007921			KAH0573756.1
OG0007922			KAH0573758.1
OG0007923			KAH0573764.1
OG0007924			KAH0573766.1
OG0007925			KAH0573767.1
OG0007926			KAH0573769.1
OG0007927			KAH0573770.1
OG0007928			KAH0573771.1
OG0007929			KAH0573772.1
OG0007930			KAH0573774.1
OG0007931			KAH0573776.1
OG0007932			KAH0573777.1
OG0007933			KAH0573778.1
OG0007934			KAH0573781.1
OG0007935			KAH0573783.1
OG0007936			KAH0573784.1
OG0007937			KAH0573785.1
OG0007938			KAH0573787.1
OG0007939			KAH0573789.1
OG0007940			KAH0573791.1
OG0007941			KAH0573792.1
OG0007942			KAH0573794.1
OG0007943			KAH0573796.1
OG0007944			KAH0573797.1
OG0007945			KAH0573798.1
OG0007946			KAH0573799.1
OG0007947			KAH0573801.1
OG0007948			KAH0573802.1
OG0007949			KAH0573803.1
OG0007950			KAH0573804.1
OG0007951			KAH0573807.1
OG0007952			KAH0573809.1
OG0007953			KAH0573810.1
OG0007954			KAH0573811.1
OG0007955			KAH0573813.1
OG0007956			KAH0573816.1
OG0007957			KAH0573817.1
OG0007958			KAH0573818.1
OG0007959			KAH0573819.1
OG0007960			KAH0573821.1
OG0007961			KAH0573822.1
OG0007962			KAH0573823.1
OG0007963			KAH0573824.1
OG0007964			KAH0573826.1
OG0007965			KAH0573827.1
OG0007966			KAH0573828.1
OG0007967			KAH0573829.1
OG0007968			KAH0573832.1
OG0007969			KAH0573833.1
OG0007970			KAH0573834.1
OG0007971			KAH0573835.1
OG0007972			KAH0573836.1
OG0007973			KAH0573838.1
OG0007974			KAH0573839.1
OG0007975			KAH0573841.1
OG0007976			KAH0573845.1
OG0007977			KAH0573846.1
OG0007978			KAH0573848.1
OG0007979			KAH0573849.1
OG0007980			KAH0573850.1
OG0007981			KAH0573852.1
OG0007982			KAH0573853.1
OG0007983			KAH0573855.1
OG0007984			KAH0573856.1
OG0007985			KAH0573858.1
OG0007986			KAH0573859.1
OG0007987			KAH0573860.1
OG0007988			KAH0573862.1
OG0007989			KAH0573863.1
OG0007990			KAH0573864.1
OG0007991			KAH0573865.1
OG0007992			KAH0573866.1
OG0007993			KAH0573867.1
OG0007994			KAH0573868.1
OG0007995			KAH0573869.1
OG0007996			KAH0573870.1
OG0007997			KAH0573872.1
OG0007998			KAH0573873.1
OG0007999			KAH0573874.1
OG0008000			KAH0573875.1
OG0008001			KAH0573876.1
OG0008002			KAH0573877.1
OG0008003			KAH0573880.1
OG0008004			KAH0573882.1
OG0008005			KAH0573883.1
OG0008006			KAH0573884.1
OG0008007			KAH0573886.1
OG0008008			KAH0573888.1
OG0008009			KAH0573889.1
OG0008010			KAH0573890.1
OG0008011			KAH0573891.1
OG0008012			KAH0573892.1
OG0008013			KAH0573894.1
OG0008014			KAH0573898.1
OG0008015			KAH0573899.1
OG0008016			KAH0573900.1
OG0008017			KAH0573901.1
OG0008018			KAH0573902.1
OG0008019			KAH0573903.1
OG0008020			KAH0573904.1
OG0008021			KAH0573905.1
OG0008022			KAH0573906.1
OG0008023			KAH0573907.1
OG0008024			KAH0573909.1
OG0008025			KAH0573910.1
OG0008026			KAH0573911.1
OG0008027			KAH0573912.1
OG0008028			KAH0573913.1
OG0008029			KAH0573914.1
OG0008030			KAH0573915.1
OG0008031			KAH0573916.1
OG0008032			KAH0573917.1
OG0008033			KAH0573918.1
OG0008034			KAH0573919.1
OG0008035			KAH0573920.1
OG0008036			KAH0573921.1
OG0008037			KAH0573922.1
OG0008038			KAH0573923.1
OG0008039			KAH0573926.1
OG0008040			KAH0573927.1
OG0008041			KAH0573928.1
OG0008042			KAH0573930.1
OG0008043			KAH0573932.1
OG0008044			KAH0573933.1
OG0008045			KAH0573934.1
OG0008046			KAH0573935.1
OG0008047			KAH0573936.1
OG0008048			KAH0573937.1
OG0008049			KAH0573938.1
OG0008050			KAH0573939.1
OG0008051			KAH0573940.1
OG0008052			KAH0573942.1
OG0008053			KAH0573943.1
OG0008054			KAH0573944.1
OG0008055			KAH0573945.1
OG0008056			KAH0573947.1
OG0008057			KAH0573948.1
OG0008058			KAH0573949.1
OG0008059			KAH0573950.1
OG0008060			KAH0573951.1
OG0008061			KAH0573952.1
OG0008062			KAH0573953.1
OG0008063			KAH0573955.1
OG0008064			KAH0573956.1
OG0008065			KAH0573957.1
OG0008066			KAH0573958.1
OG0008067			KAH0573960.1
OG0008068			KAH0573961.1
OG0008069			KAH0573962.1
OG0008070			KAH0573963.1
OG0008071			KAH0573964.1
OG0008072			KAH0573965.1
OG0008073			KAH0573966.1
OG0008074			KAH0573967.1
OG0008075			KAH0573968.1
OG0008076			KAH0573969.1
OG0008077			KAH0573970.1
OG0008078			KAH0573971.1
OG0008079			KAH0573973.1
OG0008080			KAH0573974.1
OG0008081			KAH0573975.1
OG0008082			KAH0573976.1
OG0008083			KAH0573977.1
OG0008084			KAH0573978.1
OG0008085			KAH0573979.1
OG0008086			KAH0573980.1
OG0008087			KAH0573981.1
OG0008088			KAH0573982.1
OG0008089			KAH0573983.1
OG0008090			KAH0573984.1
OG0008091			KAH0573985.1
OG0008092			KAH0573986.1
OG0008093			KAH0573987.1
OG0008094			KAH0573988.1
OG0008095			KAH0573989.1
OG0008096			KAH0573991.1
OG0008097			KAH0573992.1
OG0008098			KAH0573995.1
OG0008099			KAH0573997.1
OG0008100			KAH0574000.1
OG0008101			KAH0574001.1
OG0008102			KAH0574003.1
OG0008103			KAH0574004.1
OG0008104			KAH0574008.1
OG0008105			KAH0574012.1
OG0008106			KAH0574013.1
OG0008107			KAH0574014.1
OG0008108			KAH0574015.1
OG0008109			KAH0574017.1
OG0008110			KAH0574018.1
OG0008111			KAH0574020.1
OG0008112			KAH0574021.1
OG0008113			KAH0574022.1
OG0008114			KAH0574023.1
OG0008115			KAH0574025.1
OG0008116			KAH0574026.1
OG0008117			KAH0574027.1
OG0008118			KAH0574028.1
OG0008119			KAH0574029.1
OG0008120			KAH0574030.1
OG0008121			KAH0574031.1
OG0008122			KAH0574032.1
OG0008123			KAH0574033.1
OG0008124			KAH0574034.1
OG0008125			KAH0574035.1
OG0008126			KAH0574036.1
OG0008127			KAH0574037.1
OG0008128			KAH0574038.1
OG0008129			KAH0574039.1
OG0008130			KAH0574040.1
OG0008131			KAH0574041.1
OG0008132			KAH0574043.1
OG0008133			KAH0574044.1
OG0008134			KAH0574045.1
OG0008135			KAH0574046.1
OG0008136			KAH0574048.1
OG0008137			KAH0574049.1
OG0008138			KAH0574050.1
OG0008139			KAH0574051.1
OG0008140			KAH0574052.1
OG0008141			KAH0574053.1
OG0008142			KAH0574055.1
OG0008143			KAH0574056.1
OG0008144			KAH0574057.1
OG0008145			KAH0574058.1
OG0008146			KAH0574059.1
OG0008147			KAH0574060.1
OG0008148			KAH0574061.1
OG0008149			KAH0574064.1
OG0008150			KAH0574067.1
OG0008151			KAH0574069.1
OG0008152			KAH0574070.1
OG0008153			KAH0574073.1
OG0008154			KAH0574074.1
OG0008155			KAH0574075.1
OG0008156			KAH0574078.1
OG0008157			KAH0574079.1
OG0008158			KAH0574080.1
OG0008159			KAH0574082.1
OG0008160			KAH0574084.1
OG0008161			KAH0574085.1
OG0008162			KAH0574086.1
OG0008163			KAH0574088.1
OG0008164			KAH0574089.1
OG0008165			KAH0574090.1
OG0008166			KAH0574093.1
OG0008167			KAH0574094.1
OG0008168			KAH0574095.1
OG0008169			KAH0574096.1
OG0008170			KAH0574097.1
OG0008171			KAH0574099.1
OG0008172			KAH0574100.1
OG0008173			KAH0574101.1
OG0008174			KAH0574102.1
OG0008175			KAH0574103.1
OG0008176			KAH0574104.1
OG0008177			KAH0574105.1
OG0008178			KAH0574107.1
OG0008179			KAH0574108.1
OG0008180			KAH0574109.1
OG0008181			KAH0574110.1
OG0008182			KAH0574111.1
OG0008183			KAH0574112.1
OG0008184			KAH0574113.1
OG0008185			KAH0574114.1
OG0008186			KAH0574115.1
OG0008187			KAH0574116.1
OG0008188			KAH0574117.1
OG0008189			KAH0574118.1
OG0008190			KAH0574119.1
OG0008191			KAH0574121.1
OG0008192			KAH0574122.1
OG0008193			KAH0574123.1
OG0008194			KAH0574124.1
OG0008195			KAH0574125.1
OG0008196			KAH0574126.1
